https://www.usbr.gov/pn/hydromet/yakima/index.html,234,163,00:00:41,99,10.10%,14.10%,$0.00
https://www.usbr.gov/uc/water/index.html,232,122,00:00:27,45,11.11%,12.50%,$0.00
https://www.usbr.gov/tsc/,225,147,00:00:52,92,27.47%,17.33%,$0.00
https://www.usbr.gov/pn/hydromet/tuatea.html,224,127,00:00:21,60,63.33%,33.93%,$0.00
https://www.usbr.gov/pn/hydromet/yakima/,224,58,00:01:25,47,14.89%,16.52%,$0.00
https://www.usbr.gov/uc_snowmap/,221,198,00:01:51,159,89.94%,81.90%,$0.00
https://www.usbr.gov/newsroom/presskit/bios/detail.cfm,220,187,00:01:29,64,60.94%,32.73%,$0.00
https://www.usbr.gov/recreation/,219,174,00:01:35,79,39.24%,30.14%,$0.00
https://www.usbr.gov/ssle/damsafety/risk/methodology.html,211,91,00:01:35,79,60.00%,36.97%,$0.00
https://www.usbr.gov/gp-bin/arcweb_ccr.pl,206,162,00:00:52,120,69.17%,59.22%,$0.00
https://www.usbr.gov/gp/hydromet/,205,140,00:00:33,121,8.26%,12.68%,$0.00
https://www.usbr.gov/gp/,200,150,00:00:36,113,30.97%,24.00%,$0.00
https://www.usbr.gov/pn/agrimet/wxdata.html,199,130,00:00:48,38,10.53%,10.05%,$0.00
https://www.usbr.gov/gp-bin/arcweb_gler.pl,195,148,00:00:58,101,70.30%,51.28%,$0.00
https://www.usbr.gov/newsroom/newsrelease/,195,158,00:01:27,81,43.21%,33.33%,$0.00
https://www.usbr.gov/pn/hydromet/arcread.html,192,105,00:03:13,23,43.48%,34.38%,$0.00
https://www.usbr.gov/pn/hydromet/yakima/rtindex/yakres.html,190,85,00:02:50,33,57.58%,23.16%,$0.00
https://www.usbr.gov/lands/,189,150,00:01:01,41,39.02%,31.22%,$0.00
https://www.usbr.gov/uc/,186,132,00:00:34,83,36.14%,25.81%,$0.00
https://www.usbr.gov/mp/nepa/nepa_project_details.php,185,123,00:02:10,81,74.07%,55.68%,$0.00
https://www.usbr.gov/pn/agrimet/webarcread.html,184,104,00:03:15,30,53.33%,44.57%,$0.00
https://www.usbr.gov/pn/grandcoulee/visit/,184,150,00:00:57,140,45.00%,46.74%,$0.00
https://www.usbr.gov/pn/hydromet/rtindex/rogue.html,183,94,00:03:38,74,51.35%,43.72%,$0.00
